tweet;sentiment
sejak online class otak saya perlahan gejala nonaktif;negative
capek ga sekolah online atau bingung;neutral
bagaimana sekolah online;neutral
sekolah online ga nih bingung;neutral
sekolah online offline sama saja efektif;neutral
jadwal sekolah online enak tapi kangen offline;neutral
sekolah online tidur;neutral
sekolah online ini banyak nyatet;neutral
hari sabtu gini kalian pada sekolah online ga sih;neutral
tidur besok sekolah online;neutral
baik bu kalimat apa khas sewaktu sekolah online;neutral
berdasarkan pengalaman selama sekolah online literasi penting alhasil telat beberapa menit ngumpulin tugas;neutral
rasa sekolah online gimana sih belum pernah rasa;neutral
tapi sekolah online bukan berarti dikasi tugas mulu;neutral
kita bukan mengarah ke disiplinnya kalian dalam cek dan cek atau absensi tapi sekolah online daring zoom sistem ini hanya perantara pengiriman tugas dan cek;neutral
pengen tidur lagi tapi sekolah online;neutral
enak sekolah offline kumpul meetup bareng teman teman online megang hp rebah anjayy;neutral
online class jam saya bangun;neutral
smansa katanya sekolah unggulan tapi sekolah online lewat chat wa;neutral
gasuka online school gasuka sekolah biasa juga;neutral
adik adik sd smp butuh tentor susah ajar sekolah online utama matematika;neutral
bikin dilema kalau siswa sekolah offline bahaya nyebabin kluster kalau siswa sekolah online ganggu sehat mata;neutral
serba salah pandemi online lelah mata sekolah offline sesuai kondisi wilayah bahaya;neutral
gak suka sistem sekolah online susah paham materi kasih tatap muka langsung takut teular covid serba salah sudah;neutral
biasanya sekolah biasa deadline hitungan minggu hari tapi sekolah online hitungan perjam;neutral
baca pengumuman ini jadi lega lagi daerahku sekolah dari diperpanjang sampai oktober bagaiaman tempatmu;neutral
sekolah dari ini kek konspirasi mentri pendidikan sama orang jual kuota deh;neutral
gara gara sekolah daring jadi paham kalau jadi ibu rumah tangga harus pintar;neutral
selama sekolah online ngerjain tugas copy paste doang;neutral
yang masih sekolah daring fokus sekolah dulu yuk;neutral
setelah berbulan bulan sekolah daring baru hari ini sadar ternyata hidup normal itu adalah nikmat yang gak ada tandingan;neutral
sekolah daring telat hari ga ngerjain tugas langsung numpuk satu kampung tugasnya;neutral
karena keterbatadsan akses internet dua orang bocah sampai menumpang wifi gratis dari sebuah restoran fast food demi bisa mengikuti sekolah daring;neutral
tidak sedikit warga yang terkena pemutusan hubungan kerja phk sehingga untuk membli kuota internet untuk sekolah dairng saja tidak mampu ujar kepala dinas pendidikan jawa timur gubernur jawa timur;neutral
meskipun school from home ga efektif banget tapi jujur aku udah nyaman kayak gini;neutral
keponakan gua udah pada gede lagi nginep di rumah juga karena mereka sfh school from home;neutral
school from home atau sekolah dari rumah selama pandemi adalah momen yang tepat bagi orang tua untuk mengenal anak terlebih gaya belajar learning style dan bahasa kasih;neutral
tibatiba kepikiran gimana nasib tukang jualan di sekolah ya kalau anak school from home terus gini;neutral
yang hari sabtu tetap kelas online sini ngumpul;neutral
antara siap dan tidak siap kembali kelas online;neutral
akhirnya selesai juga kelas online pagi ini mana jaringan lelet lagi;neutral
Mau sekolah online apa offline ya huft bingung bgt;neutral
aku pingin sekolah offline tpi knffh temen ku pd pingin sklh online aku bingung;neutral
Bingung sih sebenenya kalo online trus menurutku ga efektif samsek tp offline mager bgt brngkt sekolah;neutral
aku kalo disuruh pilih mau sekolah online apa offline aku kyknya gabisa pilih deh. enakan sih sekolah online tp ga ngerti apa apaaaa:( kalo sekolah offline kadang males juga wkwk kan bingung;neutral
bingung gua juga. adek gua sekolah online gini ga ngerti materi apa-apa dong, ortu di rumah juga sibuk kerja semua. mau sekolah offline pun takut juga;neutral
aku bingung, siswa sudah tidak nyaman belajar online. banyak yang mengeluh, begitupun juga dengan guru. di satu sisi, pengen rasanya belajar dengan normal lagi, di sisi lain, sekolah/siswa sendiri tidak bisa menjamin protokol kesehatan akan berjalan maksimal jika sekolah offline;neutral
bingung sekolah butuh praktik keteteran bingung mahasiswa praktik rumah jauh mana sempat balik kampus orang semester depan rata masih pada daring;neutral
aku tuh bingung ikut kajian online offline bahkan kalo di sekolah aku selalu absen mentoring gitu;neutral
mau daftar inten tapi masih bingung mau kapan soalnya masuk sekolah aja belom tau kapan, mamaku maunya kalau offline aja soalnya emg online tuh gaakkk efektif gitu.;neutral
Kan gue tanggal msuk sekolah tapi bingung mending online apa offline;neutral
bingung sebenenya kalo online menurutku tidak efektif samsek tp offline mager berangkat sekolah;neutral
sekolah tk masuk sistem online offline bingung padahal pemerintah setempat belum boleh sekolah buka;neutral
sumpah bingung banget mau setujuin sekolah online offline;neutral
sekolah offline ajar serius aja belum paham tapi mau gimana keadaan gini;neutral
minta ttd setuju buat anak sekolah offline disini makin bingung ga setuju nanti gimana masa depan;neutral
jadi bingung bgt mau sekolah offline atau engga;neutral
semenjak sekolah online penyimpanan di hp semakin penuh;neutral
sistem sekolah online kalian gimana aku absen bebas udah cuman kasih tugas google classroom;neutral
bingung sekolah offline ga ya;neutral
sekolah belum pengumuman aku bosan rumah aku sudah nyaman di rumah tapi ingin sekolah offline jg bingung;neutral
orang sekolah online nilainya pada bagus aku sama aja;neutral
adakah yang merasa selama sekolah online tugas pertama belum selesai ada lagi yang baru;neutral
jujur ini ya gua tuh sekolah online gini cuma nyari nilai nyari ilmu di zenius pahamify sama youtube;neutral
sekolah online materi tidak masuk sekolah offline malah males bingung;neutral
tapi misal sekolah offline takut penyebaran covidnya nambah cepet bingung;neutral
sekolah online belajar daring kenapa mesti ada literasi online juga;neutral
sekolah online dapat nilai bagus guru mikir kita beneran paham padahal hasil google;neutral
ga punya kuota wifi mati masih sekolah online;neutral
aku habis sekolah online;neutral
kalian ngerasa semenjak sekolah online gak keluar rumah temen pada jago ngedit;neutral
yang besok sekolah daring tidurlah jangan larut;neutral
Selama sekolah online ortu keluh daring sekarang pemkot mulai sekolah offline ortu ikut andil gak setuju sekolah offline;neutral
karena sekolah daring jadi semua serba onlen upacara onlen;neutral
kalau sekolah daring seakan angka semu lebih penting dari jujur;neutral
Dalam hal ini, pihak sekolah, guru juga bingung;neutral
sekolah daring ngga ada tanggal merahnya berasa setiap hari ngirim tugas terus;neutral
sekolah daring serasa lagi kerja rodi;neutral
Bingung kondisi begini sekolah daring anak tetep main keluar kadang kerja tugas orang tua kalau sekolah tatap muka resiko tular tinggi banget;neutral
bingung pemerintah buka sekolah terutama anak sd masuk ada yang terkena covid19 tapi kalau terus daring anak jadi pasif;neutral
minta pendapat kalo kasih pilihan kuliah offline online pilih mana;neutral
ponakan school from home liat pc ngaji ipad main game bingung;neutral
orang tua yang punya anak masih kecil ingin sekolahnya cepet masuk karena school from home umur segitu pusing tapi demi keselamatan sekolah online;neutral
setuju ajar tatap muka benar terap protokol sehat yang ketat korban orang beneran sekolah via daring gak efektif banget utama anak;neutral
warga negara masyarakat setuju syarat protokol sehat aktivitas sekolah daring marak pandemi corona libur kelas;neutral
setuju sih sama isi captionnya benar gak pikir yang batas ekonomi susah sekolah online jahat kalau paksa ofline tetep sehat kena corona;neutral
nikmat sekolah online beban eh skul kamu berita udh tv loh kalau rencana tanggal udh skul offline include sekolah indo yang bedain gantung zona saja;neutral
sekolah tatap muka protes epidemiolog sekolah daring bilang ga efektif bingung;neutral
sekolah offline sambat sekolah online sambat;neutral
sekolah kuliah online tidak enak emang coba bayangin ajar online kurang angka sebar covid kalau offline covid;neutral
tahu berita karena sekolah offline langsung anak positif jadi terima kalau kuliah online moga saja cepat kelar ini pandemi;neutral
pusing banget sekolah online ngedumel offline kasih sekolah offline zona hijau kuning nyalahin kasih sekolah online lagi nikmatin;neutral
sekolah ajar terus ngumpulin tugas ruang guru sekolah online ajar ruangguru terus ngumpulin tugas classroom;neutral
saya gak saya ajar tatap muka jelasin ngomong sekolah online hanya kasih materi kalo oflline masih takut covid;neutral
orang tua udh ngizinin anak sekolah offline sok klau masih belum izin arti online;neutral
suka ngeluh sekolah online ga efektif trus kasi masuk sekolah biar ga online ngeluh;neutral
sekolah online ngeselin tapi offline juga bosen;neutral
materi yang diajarin gamasuk tapi emang biasanya kayak gitu;neutral
sekolah online enak tapi kadang bosen;neutral
sekolah online kadang bikin capek kadang tidak;neutral
sekolah daring guru hanya kasih tugas murid juga harus pandai belajar;neutral
bahagia anak ajar sekolah online ulangan;positive
enak banget sekolah online dengar materi jelas jujur bahagia ga stress tugas;positive
enak banget ada materi;positive
aku bahagia banget sekolah online;positive
bahagia banget lihat adek bawa teman wifi rumah buat sekolah online;positive
bahagia sekali telpon adek sekolah online rajin nonton ruangguru;positive
pengen sekolah online terus sejak daring hidup ku lebih bahagia;positive
ibu orang biasa bahagia lihat anak sekolah online;positive
selama sekolah online makin rajin;positive
hari pertama masuk sekolah online rajin banget semua mata pelajaran catat;positive
temen tetep rajin sekolah online;positive
senang bahagia kembali cerita sekolah online;positive
saya senang sekolah daring saya bisa jadi santai;positive
orang tua lebih senang ajar laksana daring hingga situasi memungkinkan untuk kembali ke sekolah;positive
temani tumbuh kembang anak senang temani hafal hadits doa surah pekan depan sekolah online ustazahnya via Skype;positive
senang karena anak belajar lewat daring tidak kumpul di sekolah;positive
sekolah bakal senang hati kembali anak orang tua biar didik orang tua sendiri peduli kebijakan sekolah online kesehatan keselamatan anak sendiri;positive
mendukung kegiatan belajar mengajar melalui daring yang sedang diterapkan di sekolah-sekolah tanah air;positive
sejujurnya agak senang sama sekolah online ini;positive
anak sekolah online di hari pertama senang banget karena bisa temu teman dan gurunya;positive
ponakan kembali ke sekolah daring di rumah seragam lengkap senang lihat;positive
ikut senang untuk sekolah jogja mulai buat kebijakan sistem daring;positive
lebih senang liat belajar online;positive
senin sekolah online matematika aku senang sekali;positive
lady rajin sekolah online di kamar;positive
anak beres kamar lihat rapi pas zoom online anak contoh hal baik org tua senang;positive
senang semenjak sekolah online nilai tambah bagus terutama matematika;positive
adik senang saya rumah ada bantu dia sekolah online;positive
tidak lupa aku jga ingin bagi tether adik sekolah online senang;positive
selama sekolah online ini aku rajin banget belajar;positive
seneng banget bantuin sepupu kesulitan sekolah daring yuk kalian bantu adik sekolah rumah;positive
tiap hari bangun pagi buat ajar cika sekolah online aja gapapa ku bahagia sekali karena latih kesabaran;positive
sekolah dengan cara daring gini sekolah membantu dalam fasilitas kuota internet seneng rasanya;positive
lagi bahagia banget sekolah online;positive
aku lebih seneng daring tidak berasa desak jam belajar bisa atur sendiri;positive
kalo belajar di rumah itu enak bisa santai gitu dan gak stress;positive
paling enak sekolah online jumat;positive
jujur lebih enak sekolah online;positive
sekolah online enak buat kerja tugas;positive
besok udah sekolah online bahagia bareng;positive
sekolah online sampai hari kamis itu bahagia;positive
kuliah atau sekolah online semangat ya;positive
bahagia sekolah online semangat jangan males;positive
lama lama nyaman online;positive
bahagia sekali sekolah online muslim preneurship;positive
jaga sehat selalu bahagia;positive
semangat juga sekolah online;positive
kuliah online sekolah online kuat ya selalu bahagia;positive
buat kamu lagi sekolah online semangat terus ya;positive
tapi online school gini aku jadi bahagia;positive
terima kasih pjj saya jadi rajin belajar;positive
bahagia banget lihat adek aku bawa teman di rumah sekolah online;positive
mereka tetap bisa bahagia sekarang sekolah online;positive
enak sekolah online dengar materi jelas bahagia ga stress tugas doang;positive
buat yang lagi sekolah online kamu semangat ya bikin kamu bahagia;positive
jokowi memberlaku kan sekolah online covid siswa nyaman di rumah;positive
Yg lagi sekolah online semoga hari ini dapat kabar bahagia;positive
baru dua hari anak sekolah online aku bahagia;positive
masih nyaman sekolah online gamau tatap muka;positive
kalo gue masih smp gue bakal bahagia banget sekolah online kaya gini;positive
Masih nyaman nikmatin belajar sendiri;positive
adek aku besok sekolah online mulai efektif bahagia semoga lancar;positive
sekolah online bikin bahagia;positive
pas pagi sekolah online jadi bahagia;positive
Enak banget bisa nyaman sama sekolah online;positive
sehat selalu bahagia selalu sekolah online;positive
aku ambis sekolah online gini belajar sendiri dulu;positive
selalu beri suasana rumah nyaman bagi anak ketika sekolah secara online;positive
sekolah online lama lama asik juga;positive
bahagia dan gembira sekolah online;positive
asik juga sekolah online kaya gini terus;positive
asik sekolah online ngerjain tugas bisa lihat google;positive
gue bahagia banget sekolah online;positive
sekolah online asik juga ternyata;positive
sekolah online terus teman jadi rajin;positive
Sekolah online asik kok;positive
sekolah online asik aku jadi semangat setiap mulai sekolah;positive
selamat masuk sekolah online lagi teman ajar rajin biar lolos snm sbm;positive
hari pertama masuk sekolah online rajin banget semua mata pelajaran gue catat;positive
dulu waktu awal awal sekolah online aku rajin bgt pake seragam;positive
asik juga sekolah online bisa rebahan trus belajar fokus;positive
Sekolah online makin rajin;positive
yuna tengah sukses rajin banget sekolah online;positive
sekolah online makin pinter dan rajin;positive
sebenernya sekolah online asik orang lebih bisa belajar sendiri;positive
gara gara sekolah online aku jadi rajin;positive
bahagia adek selama sekolah online doi rajin ajar ruangguru ingin berterima kasih;positive
besok senin mulai sekolah lagi sekolah online semangat belajar rajin raih impian;positive
mantep bgt adek gue catatannya rapih banget walaupun sekolah online;positive
catatan adek gue ini memotivasi gue buat lebih rajin di semester ini;positive
rajin masih sekolah online tetep harus seimbang antara pendidikan dan karir;positive
anak seneng banget dapet piagam dan medali karena rajin sekolah online;positive
temen temen yang tetep rajin meskipun sekolah online;positive
Anak ini emang rajin bgt walaupun sekolah online salut sumpah;positive
dulu aku pas awal sekolah online seminggu pertama rajin ngerjain tugas;positive
selama sekolah online gua makin rajin nih;positive
minggu awal sekolah online seru banget aku rajin mencatat semua pelajaran;positive
gua awalnya ambis banget rajin sekolah online;positive
keponakan yang rajin dan pinter atur sekolah online;positive
selama ini lihat adek sekolah online biasa masih rajin;positive
