tweet;sentiment
syukur males wali;neutral
tanggap angkat syukur;neutral
tawur;neutral
teriak;neutral
tidur;neutral
tidur;neutral
tidur;neutral
tidur cepat rajin begadang;neutral
tidur solat;neutral
tips males;neutral
tunggu;neutral
pemasukan;neutral
penasaran;neutral
rangkum;neutral
ready;neutral
rebahan;neutral
salah salah manusia salah;neutral
santai;neutral
santai;neutral
selamat;neutral
selamat kebelet buang;neutral
semangat capek;neutral
serasa robot;neutral
serius anaknya;neutral
serius doang ngadain;neutral
serius ngerasain;neutral
berani buka;neutral
berarti tidur cepat;neutral
berat koreksi situasi sulit langkah ambil risiko paham;neutral
berkumpul asuh;neutral
bingung boleh nyawa riskan;neutral
bingung pendek paham hindar sebar paksa;neutral
bingung pintar dijelasin ngeluh tinggal tidur suruh kerjain;neutral
bingung senang sedih beneran parah;neutral
bismillah;neutral
bobo;neutral
bobo;neutral
bobo ngantuk;neutral
bobok ;neutral
bocah ngada;neutral
boleh;neutral
bolos;neutral
bolos;neutral
bolos;neutral
bolos;neutral
bolos;neutral
brainly google;neutral
buka;neutral
buka youtube streaming;neutral
butuh gratis;neutral
butuh serba khusus akses;neutral
tunggu;neutral
pemasukan;neutral
penasaran;neutral
rangkum;neutral
ready;neutral
rebahan;neutral
salah salah manusia salah;neutral
santai;neutral
santai;neutral
selamat;neutral
selamat kebelet buang;neutral
semangat capek;neutral
serasa robot;neutral
serius anaknya;neutral
serius doang ngadain;neutral
adil;positive
alhamdulillah tenang;positive
aman nyaman;positive
asik;positive
asik;positive
asik;positive
bagus;positive
bagus;positive
bagus efektif;positive
bahagia;positive
bahagia manfaat;positive
bantu;positive
bantu;positive
bantu;positive
bantu rajin;positive
bebas;positive
bersyukur nyaman;positive
beruntung;positive
betah;positive
betah;positive
bijak bagus sehat;positive
bijaksana senang;positive
bismilah sehat;positive
bismillah;positive
bismillah;positive
bismillah;positive
cermat;positive
dukung;positive
dukung ;positive
efektif;positive
efektif;positive
efektif urus;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak;positive
enak enak;positive
enak santai;positive
enak senang;positive
fleksibel enak;positive
fokus;positive
gampang;positive
gampang;positive
gampang paham ;positive
gratis;positive
gratis;positive
gratis ;positive
gratis bantu;positive
gratis sehat;positive
gratis senang;positive
hormat fokus;positive
juang;positive
juang;positive
jujur;positive
kagum berani;positive
kenal ;positive
keren semangat;positive
konsistensi disiplin sehat;positive
lancar;positive
lancar;positive
lancar;positive
lancar;positive
lancar semangat;positive
lenggang santai;positive
manfaat ;positive
manis;positive
mantap cocok;positive
mengerti paham paham;positive
mudah;positive
mudah bijak;positive
niat;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman;positive
nyaman bebas;positive
nyaman enak;positive
nyaman enak atur;positive
nyaman gampang;positive
nyaman selamat tanggungjawab;positive
optimal efektif;positive
paham;positive
peduli;positive
pinter;positive
pinter;positive
pinter;positive
produktif;positive
rajin;positive
rajin;positive
rajin;positive
rajin;positive
rajin;positive
rajin;positive
rajin;positive
respect focus;positive
rezeki lancar;positive
rindu;positive
sabar juang;positive
sanggup;positive
santai;positive
santai;positive
sayang;positive
sehat semangat;positive
selamat selamat;positive
selamat semangat;positive
selamat semangat;positive
selamat semangat;positive
selamat semangat semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat;positive
semangat ;positive
semangat ;positive
semangat ;positive
semangat enak;positive
semangat semangat;positive
semangat senang semangat;positive
semangat seru;positive
senang;positive
senang;positive
senang;positive
senang;positive
senang;positive
senang;positive
senang;positive
senang;positive
senang;positive
senang;positive
senang;positive
senang bantu fokus;positive
senang rajin;positive
seru;positive
seru;positive
seru;positive
sesuai;positive
setuju;positive
setuju enak;positive
sukses sehat bahagia;positive
syukur;positive
syukur;positive
syukur;positive
taat sehat;positive
untung;positive
untung;positive
enak enak;positive
enak santai;positive
enak senang;positive
fleksibel enak;positive
fokus;positive
gampang;positive
syukur;positive
adil;positive
alhamdulillah tenang;positive
aman nyaman;positive
asik;positive
asik;positive
bagus;positive
bahagia;positive
